GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.service,StatusServices,0,10,0,0,0,4,0,2,0,2
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.service,PreciosServiceImpl,0,16,0,0,0,5,0,3,0,3
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.configuration,ApplicationSetup,0,109,0,0,0,29,0,6,0,6
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.model.response,ResponseProductos,7,72,5,9,0,5,4,10,0,7
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.model.request,Item,4,108,2,14,0,7,2,15,0,9
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.model.request,RequestPrecios,0,13,0,0,0,6,0,3,0,3
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.model.request,RequestLog,2,76,1,13,0,5,1,13,0,7
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.common,Exceptions,0,23,0,0,0,10,0,5,0,5
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.common,ProcesosCommon,0,52,0,0,0,13,0,6,0,6
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.common,Constantes,0,4,0,0,0,1,0,1,0,1
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.common,Util,0,46,0,2,0,12,0,6,0,5
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.common,OracleSqlArrayValue,0,45,0,4,0,13,0,5,0,3
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex,MsdApplication,9,3,0,0,3,1,1,1,1,1
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.dao,PreciosDaoImpl,0,262,0,0,0,60,0,4,0,4
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.dao,StatusDao,0,13,0,0,0,4,0,2,0,2
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.controller,PreciosController,0,119,0,4,0,27,0,6,0,4
msdprppreciosvtex,com.gruposalinas.msdprppreciosvtex.controller,StatusController,0,26,0,0,0,5,0,2,0,2
